inv_id,s_id,year
0,675,1997
0,2149,1998
0,1081,1999
0,1123,2000
0,2761,2001
0,2086,2002
0,2369,2003
0,197,2004
0,1096,2005
0,2052,2006
0,2648,2007
0,1163,2008
0,1854,2009
0,1207,2010
0,1617,2011
0,1828,2012
0,1236,2013
0,1188,2014
0,1107,2015
0,2608,2016
0,2837,2017
0,1672,2018
0,368,2019
0,1940,2020
0,1068,2021
0,798,2022
0,1761,2023
0,2870,2024
0,1875,1997
0,995,1998
0,471,1999
0,599,2000
0,1081,2001
0,185,2002
0,1390,2003
0,1049,2004
0,1889,2005
0,407,2006
0,649,2007
0,434,2008
0,1659,2009
0,1559,2010
0,219,2011
0,1236,2012
0,1594,2013
0,2806,2014
0,1582,2015
0,472,2016
0,921,2017
0,214,2018
0,950,2019
0,1515,2020
0,970,2021
0,129,2022
0,1918,2023
0,2304,2024
0,2568,1997
0,2847,1998
0,1914,1999
0,2768,2000
0,899,2001
0,2560,2002
0,1356,2003
0,1931,2004
0,1719,2005
0,1821,2006
0,762,2007
0,1115,2008
0,431,2009
0,1708,2010
0,2146,2011
0,152,2012
0,1973,2013
0,617,2014
0,1608,2015
0,1684,2016
0,872,2017
0,1303,2018
0,2037,2019
0,2749,2020
0,2097,2021
0,339,2022
0,2862,2023
0,2535,2024
0,2609,1997
0,1772,1998
0,912,1999
0,581,2000
0,154,2001
0,64,2002
0,731,2003
0,1516,2004
0,2039,2005
0,2200,2006
0,2492,2007
0,219,2008
0,1109,2009
0,1148,2010
0,476,2011
0,203,2012
0,808,2013
0,1899,2014
0,2839,2015
0,75,2016
0,1161,2017
0,2157,2018
0,127,2019
0,1987,2020
0,1838,2021
0,1531,2022
0,2919,2023
0,334,2024
0,2490,1997
0,575,1998
0,1964,1999
0,1591,2000
0,946,2001
0,1601,2002
0,1543,2003
0,2248,2004
0,2811,2005
0,551,2006
0,2293,2007
0,2612,2008
0,1740,2009
0,2324,2010
0,1791,2011
0,1436,2012
0,1459,2013
0,2964,2014
0,1846,2015
0,1266,2016
0,1826,2017
0,2533,2018
0,2277,2019
0,2545,2020
0,2862,2021
0,1725,2022
0,561,2023
0,1383,2024
0,1015,1997
0,2054,1998
0,2287,1999
0,2921,2000
0,1307,2001
0,2372,2002
0,1396,2003
0,2695,2004
0,1467,2005
0,1958,2006
0,2942,2007
0,1685,2008
0,93,2009
0,1318,2010
0,1629,2011
0,1734,2012
0,2616,2013
0,2036,2014
0,987,2015
0,60,2016
0,1618,2017
0,2655,2018
0,211,2019
0,773,2020
0,227,2021
0,1220,2022
0,1353,2023
0,446,2024
0,1857,1997
0,1120,1998
0,648,1999
0,2268,2000
0,2625,2001
0,1997,2002
0,623,2003
0,556,2004
0,1630,2005
0,1594,2006
0,306,2007
0,1440,2008
0,913,2009
0,2172,2010
0,1998,2011
0,2648,2012
0,2239,2013
0,200,2014
0,2803,2015
0,2530,2016
0,2279,2017
0,1291,2018
0,903,2019
0,598,2020
0,479,2021
0,1724,2022
0,2542,2023
0,1818,2024
0,2235,1997
0,1477,1998
0,499,1999
0,2758,2000
0,1917,2001
0,538,2002
0,677,2003
0,1586,2004
0,377,2005
0,225,2006
0,3,2007
0,2246,2008
0,1013,2009
0,1780,2010
0,1656,2011
0,2654,2012
0,2561,2013
0,68,2014
0,2302,2015
0,2115,2016
0,689,2017
0,2869,2018
0,1981,2019
0,1311,2020
0,1828,2021
0,1707,2022
0,1053,2023
0,2716,2024
0,1077,1997
0,1640,1998
0,2920,1999
0,642,2000
0,357,2001
0,1830,2002
0,307,2003
0,2245,2004
0,1424,2005
0,2176,2006
0,2312,2007
0,2031,2008
0,1396,2009
0,2505,2010
0,2797,2011
0,1443,2012
0,2669,2013
0,1463,2014
0,934,2015
0,465,2016
0,1154,2017
0,1914,2018
0,975,2019
0,2553,2020
0,579,2021
0,1334,2022
0,1390,2023
0,2393,2024
0,2320,1997
0,1314,1998
0,1664,1999
0,949,2000
0,2078,2001
0,53,2002
0,2774,2003
0,2388,2004
0,233,2005
0,595,2006
0,425,2007
0,30,2008
0,2601,2009
0,2007,2010
0,2428,2011
0,2253,2012
0,2065,2013
0,2996,2014
0,283,2015
0,1201,2016
0,504,2017
0,2946,2018
0,900,2019
0,1643,2020
0,14,2021
0,1242,2022
0,499,2023
0,1928,2024
0,1901,1997
0,1541,1998
0,33,1999
0,2295,2000
0,2400,2001
0,1158,2002
0,2851,2003
0,2011,2004
0,113,2005
0,411,2006
0,1032,2007
0,1655,2008
0,2445,2009
0,1624,2010
0,2252,2011
0,678,2012
0,2342,2013
0,90,2014
0,921,2015
0,584,2016
0,62,2017
0,2768,2018
0,2963,2019
0,2622,2020
0,2688,2021
0,981,2022
0,1148,2023
0,1236,2024
0,644,1997
0,1383,1998
0,187,1999
0,286,2000
0,2820,2001
0,2556,2002
0,2582,2003
0,2117,2004
0,2464,2005
0,502,2006
0,1548,2007
0,1644,2008
0,2716,2009
0,1602,2010
0,1297,2011
0,2649,2012
0,44,2013
0,905,2014
0,260,2015
0,1723,2016
0,2764,2017
0,2097,2018
0,1521,2019
0,1725,2020
0,2920,2021
0,1651,2022
0,1032,2023
0,942,2024
0,205,1997
0,178,1998
0,2084,1999
0,10,2000
0,2724,2001
0,918,2002
0,489,2003
0,1543,2004
0,1155,2005
0,2721,2006
0,478,2007
0,1190,2008
0,1053,2009
0,2887,2010
0,2231,2011
0,2839,2012
0,1843,2013
0,1612,2014
0,654,2015
0,1972,2016
0,2508,2017
0,1795,2018
0,411,2019
0,1751,2020
0,2389,2021
0,142,2022
0,305,2023
0,2831,2024
0,2169,1997
0,1609,1998
0,302,1999
0,1995,2000
0,2482,2001
0,1385,2002
0,2565,2003
0,2240,2004
0,2617,2005
0,2426,2006
0,1105,2007
0,480,2008
0,1009,2009
0,2110,2010
0,1681,2011
0,403,2012
0,2734,2013
0,780,2014
0,60,2015
0,1000,2016
0,2962,2017
0,2274,2018
0,573,2019
0,192,2020
0,2704,2021
0,1518,2022
0,1445,2023
0,1813,2024
0,581,1997
0,2186,1998
0,738,1999
0,2023,2000
0,758,2001
0,2883,2002
0,2669,2003
0,508,2004
0,403,2005
0,1607,2006
0,1906,2007
0,2398,2008
0,2683,2009
0,1974,2010
0,2841,2011
0,2707,2012
0,428,2013
0,1049,2014
0,1378,2015
0,2209,2016
0,1936,2017
0,1492,2018
0,2507,2019
0,2680,2020
0,837,2021
0,1080,2022
0,2013,2023
0,1802,2024
0,2616,1997
0,1496,1998
0,918,1999
0,146,2000
0,2492,2001
0,2526,2002
0,668,2003
0,2485,2004
0,2163,2005
0,2956,2006
0,1912,2007
0,2354,2008
0,1705,2009
0,2227,2010
0,1218,2011
0,2896,2012
0,67,2013
0,2633,2014
0,1915,2015
0,2437,2016
0,794,2017
0,1263,2018
0,2053,2019
0,1492,2020
0,1399,2021
0,29,2022
0,369,2023
0,1427,2024
0,2734,1997
0,2561,1998
0,947,1999
0,1723,2000
0,1517,2001
0,2564,2002
0,2069,2003
0,2435,2004
0,1507,2005
0,1535,2006
0,747,2007
0,1633,2008
0,1156,2009
0,2013,2010
0,544,2011
0,1670,2012
0,718,2013
0,869,2014
0,600,2015
0,2729,2016
0,2950,2017
0,1003,2018
0,1958,2019
0,334,2020
0,1539,2021
0,2591,2022
0,1639,2023
0,1920,2024
0,1107,1997
0,15,1998
0,125,1999
0,943,2000
0,2470,2001
0,341,2002
0,1435,2003
0,1889,2004
0,1271,2005
0,1988,2006
0,1592,2007
0,1478,2008
0,1120,2009
0,125,2010
0,493,2011
0,24,2012
0,1902,2013
0,2475,2014
0,475,2015
0,2149,2016
0,2398,2017
0,967,2018
0,2818,2019
0,2943,2020
0,1425,2021
0,11,2022
0,573,2023
0,2637,2024
0,2208,1997
0,2481,1998
0,1699,1999
0,322,2000
0,1035,2001
0,1164,2002
0,511,2003
0,2445,2004
0,126,2005
0,222,2006
0,1772,2007
0,2519,2008
0,1999,2009
0,1747,2010
0,2030,2011
0,1441,2012
0,2222,2013
0,547,2014
0,2588,2015
0,2032,2016
0,403,2017
0,1633,2018
0,294,2019
0,1553,2020
0,210,2021
0,2995,2022
0,956,2023
0,2289,2024
0,980,1997
0,1938,1998
0,2304,1999
0,2652,2000
0,636,2001
0,1980,2002
0,835,2003
0,921,2004
0,581,2005
0,2496,2006
0,2952,2007
0,2392,2008
0,1684,2009
0,2796,2010
0,948,2011
0,180,2012
0,1265,2013
0,2350,2014
0,1199,2015
0,562,2016
0,1197,2017
0,178,2018
0,520,2019
0,1383,2020
0,2360,2021
0,1890,2022
0,998,2023
0,2613,2024
0,28,1997
0,2148,1998
0,2962,1999
0,795,2000
0,2138,2001
0,1086,2002
0,497,2003
0,2753,2004
0,2660,2005
0,2170,2006
0,1640,2007
0,2902,2008
0,554,2009
0,1287,2010
0,2775,2011
0,384,2012
0,95,2013
0,1512,2014
0,10,2015
0,1844,2016
0,1019,2017
0,1783,2018
0,340,2019
0,2795,2020
0,683,2021
0,1776,2022
0,366,2023
0,2226,2024
0,2169,1997
0,1683,1998
0,2878,1999
0,2355,2000
0,2486,2001
0,377,2002
0,300,2003
0,1648,2004
0,1973,2005
0,1831,2006
0,1155,2007
0,13,2008
0,2188,2009
0,1216,2010
0,755,2011
0,766,2012
0,2206,2013
0,997,2014
0,2122,2015
0,2392,2016
0,2351,2017
0,361,2018
0,159,2019
0,2242,2020
0,1304,2021
0,598,2022
0,1540,2023
0,2134,2024
0,250,1997
0,2510,1998
0,289,1999
0,1611,2000
0,2128,2001
0,1388,2002
0,438,2003
0,291,2004
0,2553,2005
0,2781,2006
0,243,2007
0,2297,2008
0,2477,2009
0,1767,2010
0,583,2011
0,1171,2012
0,2312,2013
0,2891,2014
0,1348,2015
0,1200,2016
0,848,2017
0,351,2018
0,1217,2019
0,965,2020
0,1743,2021
0,1912,2022
0,2500,2023
0,1216,2024
0,1250,1997
0,2577,1998
0,2575,1999
0,1833,2000
0,1106,2001
0,867,2002
0,236,2003
0,910,2004
0,1181,2005
0,2208,2006
0,1997,2007
0,2530,2008
0,486,2009
0,896,2010
0,1635,2011
0,1103,2012
0,2312,2013
0,848,2014
0,1002,2015
0,1158,2016
0,55,2017
0,2105,2018
0,894,2019
0,429,2020
0,1631,2021
0,2799,2022
0,813,2023
0,105,2024
0,1169,1997
0,1429,1998
0,2899,1999
0,144,2000
0,495,2001
0,338,2002
0,432,2003
0,2073,2004
0,2826,2005
0,1765,2006
0,1869,2007
0,1183,2008
0,733,2009
0,965,2010
0,2236,2011
0,1293,2012
0,251,2013
0,907,2014
0,579,2015
0,1281,2016
0,2873,2017
0,839,2018
0,2991,2019
0,3,2020
0,1614,2021
0,2080,2022
0,1927,2023
0,1817,2024
0,1748,1997
0,9,1998
0,2093,1999
0,2970,2000
0,1955,2001
0,1421,2002
0,638,2003
0,2090,2004
0,283,2005
0,2577,2006
0,1492,2007
0,300,2008
0,2931,2009
0,2824,2010
0,527,2011
0,2086,2012
0,22,2013
0,344,2014
0,1070,2015
0,1556,2016
0,1443,2017
0,330,2018
0,619,2019
0,986,2020
0,2405,2021
0,235,2022
0,2657,2023
0,185,2024
0,2472,1997
0,2232,1998
0,576,1999
0,1799,2000
0,2323,2001
0,1103,2002
0,2543,2003
0,2976,2004
0,1472,2005
0,1688,2006
0,823,2007
0,2097,2008
0,2930,2009
0,2198,2010
0,2272,2011
0,2589,2012
0,1376,2013
0,1333,2014
0,149,2015
0,424,2016
0,2092,2017
0,2781,2018
0,1316,2019
0,2685,2020
0,1833,2021
0,1421,2022
0,1580,2023
0,2009,2024
0,487,1997
0,1050,1998
0,253,1999
0,2429,2000
0,2472,2001
0,2311,2002
0,747,2003
0,1462,2004
0,2198,2005
0,922,2006
0,2559,2007
0,1206,2008
0,769,2009
0,204,2010
0,1345,2011
0,1478,2012
0,2284,2013
0,2087,2014
0,405,2015
0,508,2016
0,1126,2017
0,2133,2018
0,696,2019
0,2685,2020
0,1002,2021
0,2908,2022
0,1559,2023
0,2386,2024
0,567,1997
0,673,1998
0,219,1999
0,2699,2000
0,1518,2001
0,1662,2002
0,1230,2003
0,924,2004
0,2554,2005
0,1400,2006
0,2142,2007
0,347,2008
0,2586,2009
0,216,2010
0,920,2011
0,1134,2012
0,2235,2013
0,2634,2014
0,1058,2015
0,1937,2016
0,1872,2017
0,1088,2018
0,2477,2019
0,1270,2020
0,416,2021
0,816,2022
0,1265,2023
0,2287,2024
0,2233,1997
0,2105,1998
0,393,1999
0,105,2000
0,1697,2001
0,942,2002
0,2539,2003
0,1231,2004
0,926,2005
0,2002,2006
0,371,2007
0,1211,2008
0,1527,2009
0,16,2010
0,2816,2011
0,2254,2012
0,778,2013
0,475,2014
0,2070,2015
0,2377,2016
0,451,2017
0,224,2018
0,129,2019
0,200,2020
0,1194,2021
0,2973,2022
0,233,2023
0,1413,2024
0,2773,1997
0,1735,1998
0,1880,1999
0,204,2000
0,2608,2001
0,692,2002
0,2151,2003
0,972,2004
0,1096,2005
0,2447,2006
0,279,2007
0,1284,2008
0,364,2009
0,2172,2010
0,711,2011
0,726,2012
0,2936,2013
0,649,2014
0,689,2015
0,181,2016
0,2085,2017
0,2326,2018
0,324,2019
0,2135,2020
0,980,2021
0,527,2022
0,2083,2023
0,1541,2024
0,2295,1997
0,2018,1998
0,1164,1999
0,617,2000
0,1418,2001
0,934,2002
0,1097,2003
0,1749,2004
0,1200,2005
0,2751,2006
0,1478,2007
0,493,2008
0,406,2009
0,931,2010
0,354,2011
0,1752,2012
0,1038,2013
0,761,2014
0,1044,2015
0,2077,2016
0,137,2017
0,318,2018
0,632,2019
0,1246,2020
0,2025,2021
0,1611,2022
0,968,2023
0,478,2024
0,671,1997
0,1953,1998
0,775,1999
0,2337,2000
0,1171,2001
0,2001,2002
0,2281,2003
0,1796,2004
0,1318,2005
0,1076,2006
0,1683,2007
0,2482,2008
0,1019,2009
0,1289,2010
0,252,2011
0,42,2012
0,1932,2013
0,1920,2014
0,422,2015
0,761,2016
0,2992,2017
0,971,2018
0,2776,2019
0,1725,2020
0,1427,2021
0,2965,2022
0,110,2023
0,1524,2024
0,2498,1997
0,2656,1998
0,1697,1999
0,402,2000
0,1141,2001
0,2285,2002
0,1668,2003
0,2403,2004
0,729,2005
0,2147,2006
0,72,2007
0,2283,2008
0,689,2009
0,1419,2010
0,667,2011
0,996,2012
0,64,2013
0,2791,2014
0,2842,2015
0,2258,2016
0,13,2017
0,355,2018
0,268,2019
0,1289,2020
0,2469,2021
0,2225,2022
0,2707,2023
0,1669,2024
0,549,1997
0,2349,1998
0,792,1999
0,2776,2000
0,1646,2001
0,993,2002
0,1687,2003
0,2973,2004
0,2306,2005
0,2172,2006
0,515,2007
0,865,2008
0,2526,2009
0,2144,2010
0,1660,2011
0,991,2012
0,1722,2013
0,2859,2014
0,2443,2015
0,1177,2016
0,2504,2017
0,146,2018
0,2286,2019
0,2404,2020
0,597,2021
0,1321,2022
0,91,2023
0,2247,2024
0,839,1997
0,34,1998
0,2484,1999
0,2120,2000
0,2466,2001
0,2187,2002
0,794,2003
0,374,2004
0,2057,2005
0,260,2006
0,862,2007
0,2531,2008
0,2538,2009
0,994,2010
0,1241,2011
0,1548,2012
0,1946,2013
0,1135,2014
0,2299,2015
0,1307,2016
0,1781,2017
0,2097,2018
0,2830,2019
0,1379,2020
0,661,2021
0,182,2022
0,2411,2023
0,2233,2024
0,478,1997
0,1659,1998
0,2695,1999
0,1870,2000
0,2706,2001
0,623,2002
0,1566,2003
0,2298,2004
0,2017,2005
0,125,2006
0,1068,2007
0,2440,2008
0,1370,2009
0,651,2010
0,2328,2011
0,484,2012
0,1608,2013
0,1103,2014
0,2991,2015
0,1209,2016
0,2849,2017
0,1903,2018
0,539,2019
0,2890,2020
0,1578,2021
0,2280,2022
0,2926,2023
0,2009,2024
0,1525,1997
0,2871,1998
0,1885,1999
0,113,2000
0,2474,2001
0,1296,2002
0,2722,2003
0,1564,2004
0,1988,2005
0,569,2006
0,2896,2007
0,1183,2008
0,858,2009
0,848,2010
0,1209,2011
0,1305,2012
0,670,2013
0,1385,2014
0,2906,2015
0,1181,2016
0,823,2017
0,2865,2018
0,1085,2019
0,202,2020
0,705,2021
0,2036,2022
0,2819,2023
0,2605,2024
0,2461,1997
0,254,1998
0,786,1999
0,541,2000
0,106,2001
0,129,2002
0,1347,2003
0,2207,2004
0,1409,2005
0,200,2006
0,161,2007
0,1655,2008
0,288,2009
0,2282,2010
0,1469,2011
0,2645,2012
0,12,2013
0,2473,2014
0,142,2015
0,1776,2016
0,1676,2017
0,1254,2018
0,2659,2019
0,2097,2020
0,406,2021
0,1540,2022
0,1495,2023
0,761,2024
0,2248,1997
0,534,1998
0,1214,1999
0,2164,2000
0,430,2001
0,1319,2002
0,2574,2003
0,2138,2004
0,737,2005
0,745,2006
0,622,2007
0,1880,2008
0,2449,2009
0,111,2010
0,77,2011
0,958,2012
0,628,2013
0,133,2014
0,1998,2015
0,423,2016
0,2434,2017
0,1168,2018
0,1456,2019
0,1458,2020
0,1890,2021
0,2547,2022
0,628,2023
0,672,2024
0,532,1997
0,2324,1998
0,2127,1999
0,407,2000
0,282,2001
0,530,2002
0,2879,2003
0,2007,2004
0,2982,2005
0,252,2006
0,1231,2007
0,2108,2008
0,1872,2009
0,784,2010
0,2654,2011
0,2857,2012
0,1917,2013
0,415,2014
0,2999,2015
0,1283,2016
0,955,2017
0,465,2018
0,3,2019
0,93,2020
0,1890,2021
0,1774,2022
0,1148,2023
0,715,2024
0,1644,1997
0,1034,1998
0,2846,1999
0,1418,2000
0,656,2001
0,267,2002
0,1660,2003
0,272,2004
0,746,2005
0,1428,2006
0,1132,2007
0,28,2008
0,1230,2009
0,2025,2010
0,265,2011
0,2665,2012
0,1771,2013
0,2300,2014
0,2311,2015
0,686,2016
0,2381,2017
0,2251,2018
0,2869,2019
0,289,2020
0,1748,2021
0,1933,2022
0,967,2023
0,2941,2024
0,1899,1997
0,2750,1998
0,577,1999
0,1167,2000
0,2385,2001
0,2141,2002
0,2692,2003
0,826,2004
0,1069,2005
0,2377,2006
0,796,2007
0,643,2008
0,2924,2009
0,2026,2010
0,545,2011
0,2322,2012
0,1132,2013
0,367,2014
0,1728,2015
0,2979,2016
0,346,2017
0,2502,2018
0,121,2019
0,1199,2020
0,1855,2021
0,97,2022
0,550,2023
0,594,2024
0,1924,1997
0,2321,1998
0,2900,1999
0,2671,2000
0,1210,2001
0,938,2002
0,423,2003
0,1527,2004
0,1267,2005
0,1952,2006
0,416,2007
0,1717,2008
0,2595,2009
0,551,2010
0,57,2011
0,238,2012
0,1105,2013
0,2779,2014
0,1821,2015
0,184,2016
0,109,2017
0,2678,2018
0,1541,2019
0,274,2020
0,1305,2021
0,2317,2022
0,1439,2023
0,726,2024
0,1691,1997
0,2484,1998
0,6,1999
0,731,2000
0,1860,2001
0,5,2002
0,1343,2003
0,969,2004
0,148,2005
0,1743,2006
0,1309,2007
0,590,2008
0,2670,2009
0,785,2010
0,2179,2011
0,1935,2012
0,2900,2013
0,1902,2014
0,116,2015
0,2741,2016
0,1289,2017
0,888,2018
0,805,2019
0,2000,2020
0,1046,2021
0,934,2022
0,503,2023
0,832,2024
0,2007,1997
0,1327,1998
0,967,1999
0,942,2000
0,1374,2001
0,2655,2002
0,793,2003
0,1040,2004
0,1146,2005
0,2270,2006
0,1872,2007
0,29,2008
0,1960,2009
0,607,2010
0,1117,2011
0,1595,2012
0,2396,2013
0,2672,2014
0,1918,2015
0,213,2016
0,544,2017
0,1545,2018
0,1768,2019
0,2132,2020
0,2109,2021
0,2995,2022
0,1130,2023
0,1419,2024
0,1011,1997
0,1846,1998
0,2521,1999
0,2302,2000
0,394,2001
0,1757,2002
0,267,2003
0,1115,2004
0,2633,2005
0,1685,2006
0,1213,2007
0,1427,2008
0,2877,2009
0,2452,2010
0,2805,2011
0,2064,2012
0,889,2013
0,2465,2014
0,357,2015
0,2776,2016
0,997,2017
0,2881,2018
0,195,2019
0,2673,2020
0,2216,2021
0,108,2022
0,1708,2023
0,1591,2024
0,2816,1997
0,629,1998
0,2955,1999
0,1487,2000
0,2175,2001
0,312,2002
0,1535,2003
0,425,2004
0,1447,2005
0,2351,2006
0,281,2007
0,1186,2008
0,287,2009
0,2787,2010
0,36,2011
0,2328,2012
0,1934,2013
0,1035,2014
0,2066,2015
0,273,2016
0,1971,2017
0,2956,2018
0,530,2019
0,2589,2020
0,2110,2021
0,2801,2022
0,1448,2023
0,402,2024
0,1585,1997
0,2469,1998
0,1117,1999
0,2085,2000
0,622,2001
0,416,2002
0,1153,2003
0,1225,2004
0,546,2005
0,2681,2006
0,1948,2007
0,572,2008
0,1227,2009
0,2388,2010
0,2854,2011
0,248,2012
0,1230,2013
0,2929,2014
0,1695,2015
0,1898,2016
0,1721,2017
0,419,2018
0,2750,2019
0,1939,2020
0,1758,2021
0,1289,2022
0,685,2023
0,1281,2024
0,900,1997
0,2,1998
0,2440,1999
0,1597,2000
0,2548,2001
0,837,2002
0,1849,2003
0,796,2004
0,1541,2005
0,2253,2006
0,512,2007
0,2843,2008
0,581,2009
0,1886,2010
0,1269,2011
0,733,2012
0,1271,2013
0,1489,2014
0,1036,2015
0,2988,2016
0,311,2017
0,1898,2018
0,2038,2019
0,736,2020
0,367,2021
0,1198,2022
0,129,2023
0,891,2024
0,1877,1997
0,1040,1998
0,1722,1999
0,482,2000
0,2275,2001
0,1539,2002
0,2440,2003
0,1872,2004
0,2826,2005
0,809,2006
0,228,2007
0,2606,2008
0,955,2009
0,1172,2010
0,2581,2011
0,1143,2012
0,973,2013
0,2023,2014
0,1301,2015
0,2202,2016
0,1167,2017
0,1749,2018
0,2153,2019
0,2038,2020
0,1597,2021
0,2708,2022
0,686,2023
0,350,2024
0,279,1997
