s_id,s_name,s_country,s_address,s_phone,super_name
1,"Wells, Velez and Lutz",USA,"535 Joseph Islands
North Brianville, DC 68174",+1 0950480817,Patricia Roberts
2,"Freeman, Johnson and Tucker",Canada,"0160 Kimberly Islands
Suttonhaven, AL 21828",+1 9565606240,Autumn Orr
3,"Long, Wilson and Doyle",Japan,"301 Erica Forge Apt. 824
Ivanport, WI 44333",+81 2962593560,Christopher Keller
4,Bryan LLC,Vietnam,"693 Patton Wells Suite 871
North Coryfort, MP 22185",+84 0011908440,Jonathan Duncan
5,Evans-Clark,Canada,"75515 Sherri Falls Suite 338
New Mariahberg, CO 74939",+1 9705771450,Kayla Mason
6,Franklin Ltd,Italy,"9088 Stephen Pike Apt. 723
West Alexandria, KY 45415",+39 6859096948,Brittany Hernandez
7,"Dominguez, Johnson and Sullivan",Canada,"PSC 9578, Box 5116
APO AE 81607",+1 5829437461,Christopher Kane
8,Simmons-Hines,Israel,"140 Deleon Camp
Lake Emilyport, MA 32573",+972 5463036849,Laura Kirby
9,Brown Group,France,"4310 Rachel Trail
Noahfurt, NV 81083",+33 4287336353,Lindsey Jennings
10,Colon Inc,Singapore,"259 Johnson Mall
Kellyland, TX 31486",+65 4324954331,Brandon Wright
11,Lawson LLC,Poland,"507 Michael Alley
Watsonbury, MD 95241",+48 3669606312,Patricia Soto
12,"Khan, Smith and Moore",Bulgaria,"73602 Evans Manors
Port Melissa, AR 78826",+359 9847373370,Michelle Davis
13,"Allen, Foster and Evans",Brazil,"68655 Reed Mountain Suite 507
South Danielmouth, WY 36420",+55 0385558984,Donald Garrison
14,Watson Ltd,USA,"2541 Sheppard Knoll Apt. 298
Curryhaven, OK 44745",+1 1832602299,Christy Swanson
15,Wallace and Sons,Canada,"528 Green Harbor
Bensonborough, HI 59376",+1 3678848536,Kimberly Clark
16,"Steele, Sanchez and Hernandez",Taiwan,"86843 Oscar Loop
New Cynthiaton, MT 66470",+886 6835737131,Amber Gonzalez
17,"Brown, Carr and Spencer",France,"0876 Michael Grove
Port Ashleyfort, FL 37480",+33 3951382791,Mallory Tapia
18,"Wolfe, Tucker and Coleman",USA,"731 Jennifer Cliffs Apt. 745
East Catherine, GU 87892",+1 4735313523,Ryan Ramos
19,"Kidd, Singh and Steele",United Kingdom,"00424 Smith Park Suite 445
East Danieltown, FL 76990",+44 8326800146,Jacqueline Wells
20,Simon Ltd,Belgium,"95747 Nicole Glens Suite 403
East Mirandabury, FM 19108",+32 6374525117,Tina Marshall
