inv_id,inv_name,status,p_id
1,Buoyant Washer A,Using,1
2,Buoyant Washer B,Not Using,1
3,Buoyant Washer C,Not Using,1
4,Buoyant Washer D,Using,1
5,Rapid-fire Washer A,Not Using,2
6,Rapid-fire Washer B,Using,2
7,Rapid-fire Washer C,Not Using,2
8,Rapid-fire Washer D,Using,2
9,Elevated Washer A,Using,3
10,Elevated Washer B,Using,3
11,Magnetic Washer A,Not Using,4
12,Magnetic Washer B,Using,4
13,Magnetic Washer C,Not Using,4
14,Magnetic Washer D,Using,4
15,Magnetic Washer E,Using,4
16,Cruising Washer A,Using,5
17,Cruising Washer B,Not Using,5
18,Cruising Washer C,Using,5
19,Cruising Washer D,Not Using,5
20,Fast Washer A,Using,6
21,Fast Washer B,Using,6
22,Fast Washer C,Using,6
23,Endless Washer A,Not Using,7
24,Endless Washer B,Using,7
25,Endless Washer C,Using,7
26,Endless Washer D,Using,7
27,Smooth Washer A,Using,8
28,Smooth Washer B,Using,8
29,Smooth Washer C,Not Using,8
30,Controlled Washer A,Using,9
31,Controlled Washer B,Not Using,9
32,Independent Washer A,Using,10
33,Independent Washer B,Using,10
34,Independent Washer C,Using,10
35,Superb Nut A,Using,11
36,Whirling Nut A,Using,12
37,Whirling Nut B,Not Using,12
38,Whirling Nut C,Using,12
39,Whirling Nut D,Using,12
40,Whirling Nut E,Using,12
41,Majestic Nut A,Not Using,13
42,Majestic Nut B,Using,13
43,Majestic Nut C,Not Using,13
44,Majestic Nut D,Using,13
45,Majestic Nut E,Using,13
46,Defiant Nut A,Using,14
47,Defiant Nut B,Not Using,14
48,Defiant Nut C,Using,14
49,Defiant Nut D,Using,14
50,Zealous Nut A,Using,15
51,Zealous Nut B,Using,15
52,Zealous Nut C,Using,15
53,Spectacular Nut A,Not Using,16
54,Spectacular Nut B,Using,16
55,Spectacular Nut C,Using,16
56,Airy Nut A,Using,17
57,Unstoppable Nut A,Using,18
58,Unstoppable Nut B,Using,18
59,Unstoppable Nut C,Not Using,18
60,Unstoppable Nut D,Using,18
61,Unstoppable Nut E,Not Using,18
62,Cruising Nut A,Using,19
63,Cruising Nut B,Using,19
64,Cruising Nut C,Using,19
65,Defiant Bolt A,Using,20
66,Defiant Bolt B,Using,20
67,Defiant Bolt C,Not Using,20
68,Limitless Bolt A,Using,21
69,Limitless Bolt B,Using,21
70,Vigilant Bolt A,Using,22
71,Vigilant Bolt B,Not Using,22
72,Overpowered Rivet A,Using,23
73,Overpowered Rivet B,Not Using,23
74,Weightless Rivet A,Using,24
75,Infinite Rivet A,Using,25
