inv_id,f_id,year
5,54,1997
5,101,1998
5,126,1999
5,25,2000
5,99,2001
5,145,2002
5,127,2003
5,109,2004
5,150,2005
5,58,2006
5,5,2007
5,142,2008
5,81,2009
5,97,2010
5,107,2011
5,119,2012
5,7,2013
5,137,2014
5,106,2015
5,15,2016
5,98,2017
5,44,2018
5,96,2019
5,72,2020
5,91,2021
5,129,2022
5,103,2023
5,82,2024
10,105,1997
10,67,1998
10,41,1999
10,14,2000
10,136,2001
10,41,2002
10,79,2003
10,14,2004
10,52,2005
10,110,2006
10,5,2007
10,117,2008
10,75,2009
10,122,2010
10,69,2011
10,119,2012
10,33,2013
10,55,2014
10,108,2015
10,107,2016
10,73,2017
10,139,2018
10,128,2019
10,123,2020
10,43,2021
10,16,2022
10,126,2023
10,115,2024
20,142,1997
20,96,1998
20,140,1999
20,26,2000
20,122,2001
20,134,2002
20,32,2003
20,82,2004
20,30,2005
20,150,2006
20,98,2007
20,70,2008
20,17,2009
20,55,2010
20,95,2011
20,75,2012
20,99,2013
20,59,2014
20,42,2015
20,108,2016
20,136,2017
20,109,2018
20,117,2019
20,127,2020
20,118,2021
20,133,2022
20,75,2023
20,97,2024
30,32,1997
30,137,1998
30,136,1999
30,94,2000
30,96,2001
30,48,2002
30,141,2003
30,70,2004
30,141,2005
30,89,2006
30,23,2007
30,13,2008
30,77,2009
30,96,2010
30,34,2011
30,44,2012
30,42,2013
30,71,2014
30,16,2015
30,26,2016
30,72,2017
30,19,2018
30,119,2019
30,25,2020
30,103,2021
30,135,2022
30,29,2023
30,59,2024
40,149,1997
40,104,1998
40,63,1999
40,141,2000
40,89,2001
40,38,2002
40,115,2003
40,80,2004
40,72,2005
40,44,2006
40,49,2007
40,130,2008
40,144,2009
40,25,2010
40,18,2011
40,147,2012
40,54,2013
40,84,2014
40,87,2015
40,15,2016
40,27,2017
40,135,2018
40,125,2019
40,97,2020
40,83,2021
40,99,2022
40,140,2023
40,97,2024
50,76,1997
50,129,1998
50,21,1999
50,3,2000
50,57,2001
50,68,2002
50,32,2003
50,24,2004
50,62,2005
50,82,2006
50,121,2007
50,58,2008
50,69,2009
50,57,2010
50,66,2011
50,82,2012
50,82,2013
50,135,2014
50,117,2015
50,22,2016
50,12,2017
50,116,2018
50,10,2019
50,42,2020
50,63,2021
50,127,2022
50,61,2023
50,56,2024
60,143,1997
60,103,1998
60,25,1999
60,104,2000
60,90,2001
60,5,2002
60,34,2003
60,88,2004
60,70,2005
60,12,2006
60,144,2007
60,96,2008
60,68,2009
60,124,2010
60,92,2011
60,39,2012
60,91,2013
60,120,2014
60,21,2015
60,59,2016
60,92,2017
60,50,2018
60,71,2019
60,45,2020
60,2,2021
60,82,2022
60,76,2023
60,82,2024
70,117,1997
70,15,1998
70,59,1999
70,137,2000
70,9,2001
70,71,2002
70,149,2003
70,74,2004
70,81,2005
70,70,2006
70,17,2007
