inv_id,s_id,year
1,2852,1997
1,820,1998
1,231,1999
1,2708,2000
1,1888,2001
1,1044,2002
1,483,2003
1,1745,2004
1,106,2005
1,1034,2006
1,341,2007
1,583,2008
1,2008,2009
1,1201,2010
1,1807,2011
1,2979,2012
1,2130,2013
1,194,2014
1,1507,2015
1,2338,2016
1,754,2017
1,1896,2018
1,645,2019
1,895,2020
1,914,2021
1,2479,2022
1,2997,2023
1,2712,2024
2,852,1997
2,318,1998
2,2239,1999
2,2120,2000
2,1632,2001
2,1596,2002
2,2684,2003
2,2489,2004
2,236,2005
2,532,2006
2,1070,2007
2,577,2008
2,1401,2009
2,229,2010
2,2766,2011
2,1995,2012
2,2271,2013
2,264,2014
2,1086,2015
2,2281,2016
2,1706,2017
2,686,2018
2,269,2019
2,353,2020
2,234,2021
2,1706,2022
2,1231,2023
2,2396,2024
3,154,1997
3,1769,1998
3,632,1999
3,1709,2000
3,2275,2001
3,1254,2002
3,516,2003
3,739,2004
3,1095,2005
3,2630,2006
3,1518,2007
3,439,2008
3,333,2009
3,1905,2010
3,1169,2011
3,2196,2012
3,135,2013
3,1812,2014
3,110,2015
3,286,2016
3,147,2017
3,1128,2018
3,2743,2019
3,653,2020
3,2152,2021
3,1927,2022
3,924,2023
3,582,2024
4,1789,1997
4,1755,1998
4,515,1999
4,1347,2000
4,2781,2001
4,22,2002
4,1713,2003
4,617,2004
4,474,2005
4,792,2006
4,886,2007
4,118,2008
4,187,2009
4,2489,2010
4,1833,2011
4,152,2012
4,1301,2013
4,2399,2014
4,1093,2015
4,719,2016
4,192,2017
4,1617,2018
4,1431,2019
4,1094,2020
4,1899,2021
4,581,2022
4,1508,2023
4,1439,2024
6,723,1997
6,2480,1998
6,1579,1999
6,1455,2000
6,58,2001
6,415,2002
6,2404,2003
6,2306,2004
6,502,2005
6,2386,2006
6,55,2007
6,1953,2008
6,1609,2009
6,2927,2010
6,2767,2011
6,1810,2012
6,284,2013
6,47,2014
6,2128,2015
6,742,2016
6,1933,2017
6,2692,2018
6,2885,2019
6,1,2020
6,2598,2021
6,1420,2022
6,293,2023
6,328,2024
7,1816,1997
7,1369,1998
7,2057,1999
7,2025,2000
7,54,2001
7,730,2002
7,1917,2003
7,80,2004
7,2638,2005
7,987,2006
7,2948,2007
7,2120,2008
7,1346,2009
7,1423,2010
7,230,2011
7,671,2012
7,849,2013
7,1612,2014
7,959,2015
7,303,2016
7,2573,2017
7,1635,2018
7,1777,2019
7,2669,2020
7,569,2021
7,1286,2022
7,435,2023
7,1069,2024
8,1754,1997
8,993,1998
8,712,1999
8,1020,2000
8,530,2001
