p_id,p_name,standard,length,width,height
1,Buoyant Washer,Check that the part's surface is free from dirt or oil. Test the part for waterproofing or water resistance. Perform a stress test to ensure the part can handle extreme forces. ,68.0,68.0,45.0
2,Rapid-fire Washer,Verify that the part can withstand sudden temperature changes. Verify that the part is suitable for long-term storage without degradation. ,25.0,97.0,65.5
3,Elevated Washer,Verify the part can handle operational load without deformation. Verify that the part does not degrade under prolonged exposure to sunlight. ,51.0,65.0,100.0
4,Magnetic Washer,Ensure that the part is resistant to wear and abrasion over time. Test the part for durability in both dry and wet environments. Check for proper insulation in electrical components. Test the part for waterproofing or water resistance. Verify the part's resistance to moisture absorption. ,50.0,70.0,35.25
5,Cruising Washer,Check for proper insulation in electrical components. Check that the part's surface is free from dirt or oil. Verify that the part meets all regulatory standards for safety. Ensure the part has sufficient tolerance for manufacturing variances. ,85.75,101.0,58.0
6,Fast Washer,Verify that the part does not generate excessive heat during operation. Check the part's compliance with ISO quality standards. Verify the part's resistance to rust under typical operating conditions. ,35.0,90.0,63.0
7,Endless Washer,Ensure that the part's shape and design are optimized for aerodynamic efficiency. Ensure that all seals are in good condition and function properly. Verify the part's resistance to impacts from debris or foreign objects. Ensure that the part has proper heat dissipation mechanisms. Ensure the part is free from cracks or defects. Ensure the part is made of materials that are compatible with the environment it will operate in. Ensure the part's interface with other components is secure and stable. Verify the part's resistance to moisture absorption. ,60.75,80.0,55.25
8,Smooth Washer,Test the part's strength under static and dynamic loads. Ensure the part's interface with other components is secure and stable. Test the part's thermal conductivity and insulation properties. Perform a leakage test to ensure proper containment. Check the part's compliance with ISO quality standards. Verify the part's resistance to high-stress conditions. Verify the part's resistance to impacts from debris or foreign objects. Ensure that all fasteners and components are correctly sized and installed. Ensure that moving parts have sufficient lubrication. Check that the part has a minimal coefficient of friction where necessary. ,25.5,63.0,100.0
9,Controlled Washer,Ensure the part does not exceed noise level regulations. Test the part for smooth operation in both dry and wet conditions. ,58.0,80.0,85.0
10,Independent Washer,Verify that the part is free from manufacturing defects. Verify that the part complies with environmental and safety guidelines. Ensure that the part is free of foreign material contamination. Perform a bending test to verify strength and flexibility. Ensure the part is designed for ease of assembly and maintenance. Test the part for appropriate resistance to external contaminants. Test the part for flexibility under different temperature conditions. Ensure the part's electrical systems function properly under load. ,45.0,35.5,80.25
11,Superb Nut,Ensure that the part has proper heat dissipation mechanisms. ,60.0,85.0,30.0
12,Whirling Nut,Verify that the part complies with environmental and safety guidelines. Ensure the part functions under extreme temperatures without degradation. Test the part for wear resistance under continuous motion. Test the part's ability to handle pressure fluctuations. Ensure the part is made of materials that are compatible with the environment it will operate in. Verify that the part can withstand thermal cycling without damage. Check for smooth operation under high pressure conditions. Ensure that the part has been properly treated for environmental protection. Verify dimensions and tolerance against engineering drawings. Verify the part's resistance to fatigue under repeated use. ,37.0,40.0,35.25
13,Majestic Nut,Ensure the part is capable of handling varying levels of shock or impact. Ensure the part functions under extreme temperatures without degradation. Ensure that any moving components are free from obstruction. Test the part for functionality and durability in simulated flight conditions. ,95.0,45.0,65.0
14,Defiant Nut,Ensure all fasteners are properly tightened and secured. Ensure the part does not exceed noise level regulations. Verify that the part can be safely used under varying operational conditions. Check that the part is free from rust and other forms of corrosion. Test the material for resistance to chemical exposure. Ensure that no part is exposed to excessive wear and tear. Check for proper insulation in electrical components. Perform a stress test to ensure the part can handle extreme forces. ,70.25,70.0,85.0
