s_id,year,on time,quality,after-sales service,final score,e_id
1,1997,57,60,95,60.85,BL164567666
4,1997,72,66,90,69.0,HZ059479913
6,1997,97,63,53,72.7,VD219938145
8,1997,98,64,92,75.6,MM484314278
9,1997,64,63,83,64.3,PA105899991
10,1997,75,71,92,73.25,KH775751336
12,1997,50,87,66,74.85,DZ316591599
14,1997,85,69,56,73.15,MN005219252
15,1997,88,68,95,75.35,CK689243685
16,1997,54,74,92,68.9,VD219938145
18,1997,76,86,88,83.1,SM665395424
20,1997,76,56,98,64.1,DZ316591599
21,1997,68,98,82,88.2,RI497058419
22,1997,51,85,90,75.05,CT258851409
24,1997,69,65,83,67.1,TY760874265
25,1997,53,62,77,60.05,KE823384121
26,1997,66,72,60,69.6,YV997426383
27,1997,91,61,59,69.9,LS538502116
28,1997,87,83,85,84.3,OC088063613
30,1997,56,62,72,60.7,OC088063613
32,1997,72,84,79,80.15,SM665395424
33,1997,78,61,54,65.75,BL164567666
34,1997,71,69,80,70.15,KE823384121
35,1997,83,68,95,73.85,NK676784628
36,1997,67,56,92,61.1,OC088063613
38,1997,96,51,64,65.15,VC139026495
39,1997,62,88,83,79.95,VC139026495
40,1997,86,81,69,81.9,YV997426383
42,1997,85,98,61,92.25,VD219938145
44,1997,75,79,62,76.95,OC088063613
45,1997,58,52,75,54.95,CT258851409
46,1997,58,89,64,78.45,OC088063613
48,1997,68,98,89,88.55,OC088063613
49,1997,68,95,70,85.65,MM484314278
50,1997,79,77,91,78.3,MN005219252
51,1997,51,81,65,71.2,SM665395424
52,1997,59,70,78,67.1,BL164567666
54,1997,94,87,60,87.75,OP572016011
55,1997,53,99,89,84.7,BL164567666
56,1997,69,78,73,75.05,BL164567666
57,1997,100,98,67,97.05,BL164567666
58,1997,94,71,98,79.25,DZ316591599
60,1997,95,65,65,74.0,NK676784628
62,1997,56,69,80,65.65,VC139026495
63,1997,99,73,50,79.65,OP572016011
64,1997,78,76,51,75.35,PA105899991
65,1997,82,54,81,63.75,KH775751336
66,1997,81,54,87,63.75,HZ059479913
68,1997,72,88,66,82.1,OC088063613
69,1997,55,74,52,67.2,TY760874265
70,1997,61,96,95,85.45,YV997426383
72,1997,63,94,79,83.95,KE823384121
74,1997,82,89,89,86.9,MM484314278
75,1997,83,53,82,63.45,KE823384121
76,1997,100,59,77,72.2,DZ316591599
77,1997,70,97,77,87.9,SM665395424
78,1997,97,90,70,91.1,VD219938145
80,1997,65,55,51,57.8,VW913801325
81,1997,53,50,88,52.8,TY760874265
82,1997,82,69,99,74.4,VD219938145
84,1997,86,85,53,83.7,SM665395424
85,1997,60,92,98,82.7,YV997426383
86,1997,81,87,50,83.35,KH775751336
87,1997,75,66,60,68.4,OP572016011
88,1997,86,89,78,87.55,OP572016011
90,1997,65,77,70,73.05,VW913801325
91,1997,90,56,74,67.1,VW913801325
92,1997,51,94,100,81.4,OP572016011
93,1997,91,58,73,68.65,VW913801325
94,1997,91,60,77,70.15,RI497058419
95,1997,61,70,56,66.6,RI497058419
96,1997,75,69,99,72.3,OP572016011
98,1997,62,52,73,56.05,PA105899991
99,1997,81,86,64,83.4,VW913801325
100,1997,61,75,95,71.8,RI497058419
102,1997,68,77,82,74.55,NK676784628
104,1997,71,84,96,80.7,MM484314278
105,1997,80,65,67,69.6,KE823384121
106,1997,55,68,56,63.5,VC139026495
108,1997,90,69,91,76.4,KH775751336
110,1997,85,85,54,83.45,VW913801325
111,1997,56,76,82,70.3,RI497058419
112,1997,61,100,95,88.05,CT258851409
114,1997,72,82,57,77.75,CT258851409
115,1997,61,100,71,86.85,CK689243685
116,1997,64,83,76,76.95,KE823384121
117,1997,87,99,84,94.65,LS538502116
118,1997,93,81,97,85.4,TY760874265
119,1997,61,71,61,67.5,LS538502116
120,1997,92,80,97,84.45,VC139026495
121,1997,83,50,96,62.2,VC139026495
122,1997,70,53,95,60.2,VC139026495
123,1997,85,60,83,68.65,MN005219252
124,1997,81,87,52,83.45,BL164567666
125,1997,79,76,60,76.1,OP572016011
126,1997,71,80,54,76.0,CT258851409
128,1997,59,85,83,77.1,MN005219252
129,1997,74,83,73,79.8,YV997426383
130,1997,82,83,97,83.4,VD219938145
132,1997,89,67,97,75.1,CT258851409
133,1997,74,72,81,73.05,OC088063613
134,1997,85,67,96,73.85,MN005219252
135,1997,61,71,88,68.85,NK676784628
136,1997,86,80,76,81.6,BL164567666
138,1997,82,82,88,82.3,TY760874265
140,1997,86,56,84,66.4,KH775751336
141,1997,74,89,82,84.15,SM665395424
142,1997,67,88,63,80.45,CT258851409
143,1997,90,98,83,94.85,PA105899991
144,1997,74,55,76,61.75,CK689243685
145,1997,63,99,83,87.4,YV997426383
146,1997,73,78,87,76.95,DZ316591599
147,1997,66,67,77,67.2,VC139026495
148,1997,99,65,65,75.2,UT333656047
150,1997,59,75,65,69.7,BL164567666
152,1997,94,74,86,80.6,MN005219252
153,1997,54,54,90,55.8,MN005219252
154,1997,94,97,64,94.45,VD219938145
155,1997,50,85,92,74.85,NK676784628
156,1997,53,89,52,76.35,KE823384121
158,1997,85,68,97,74.55,KH775751336
159,1997,62,85,89,78.3,VD219938145
160,1997,55,82,57,72.65,OP572016011
161,1997,80,100,92,93.6,VD219938145
162,1997,51,92,94,79.8,KE823384121
164,1997,68,52,75,57.95,VD219938145
165,1997,79,50,69,59.65,HZ059479913
166,1997,78,86,75,83.05,UT333656047
168,1997,67,97,92,87.75,KE823384121
169,1997,56,73,63,67.4,RI497058419
170,1997,69,84,80,79.3,VW913801325
171,1997,81,78,83,79.15,OP572016011
172,1997,97,62,65,72.65,SM665395424
174,1997,86,79,60,80.15,OC088063613
175,1997,75,90,75,84.75,SM665395424
176,1997,75,88,54,82.4,PA105899991
177,1997,58,86,86,77.6,VW913801325
178,1997,99,55,52,68.05,VW913801325
180,1997,71,67,61,67.9,OC088063613
182,1997,80,86,70,83.4,PA105899991
183,1997,100,64,53,74.25,MM484314278
184,1997,50,100,69,83.45,VC139026495
185,1997,89,96,83,93.25,VC139026495
186,1997,61,70,73,67.45,MN005219252
187,1997,91,52,54,63.8,BL164567666
188,1997,94,81,73,84.5,VW913801325
189,1997,66,77,59,72.8,LS538502116
190,1997,82,61,80,68.25,MM484314278
192,1997,69,89,90,83.05,CT258851409
194,1997,74,63,55,65.9,YV997426383
