inv_id,f_id,year
0,42,1997
0,50,1998
0,30,1999
0,72,2000
0,6,2001
0,137,2002
0,134,2003
0,84,2004
0,45,2005
0,110,2006
0,52,2007
0,122,2008
0,1,2009
0,100,2010
0,91,2011
0,96,2012
0,24,2013
0,2,2014
0,112,2015
0,75,2016
0,46,2017
0,134,2018
0,97,2019
0,71,2020
0,114,2021
0,68,2022
0,140,2023
0,6,2024
0,129,1997
0,94,1998
0,19,1999
0,34,2000
0,104,2001
0,44,2002
0,99,2003
0,26,2004
0,8,2005
0,46,2006
0,78,2007
0,150,2008
0,52,2009
0,101,2010
0,48,2011
0,88,2012
0,42,2013
0,87,2014
0,144,2015
0,123,2016
0,88,2017
0,131,2018
0,97,2019
0,94,2020
0,140,2021
0,79,2022
0,100,2023
0,130,2024
0,34,1997
0,34,1998
0,84,1999
0,1,2000
0,59,2001
0,39,2002
0,100,2003
0,126,2004
0,129,2005
0,86,2006
0,148,2007
0,69,2008
0,75,2009
0,107,2010
0,33,2011
0,104,2012
0,74,2013
0,73,2014
0,126,2015
0,53,2016
0,73,2017
0,117,2018
0,91,2019
0,62,2020
0,16,2021
0,56,2022
0,119,2023
0,42,2024
0,40,1997
0,83,1998
0,33,1999
0,88,2000
0,30,2001
0,105,2002
0,98,2003
0,110,2004
0,126,2005
0,78,2006
0,70,2007
0,62,2008
0,60,2009
0,50,2010
0,25,2011
0,24,2012
0,61,2013
0,5,2014
0,45,2015
0,99,2016
0,114,2017
0,96,2018
0,93,2019
0,135,2020
0,123,2021
0,90,2022
0,130,2023
0,130,2024
0,85,1997
0,81,1998
0,86,1999
0,95,2000
0,125,2001
0,83,2002
0,52,2003
0,143,2004
0,109,2005
0,34,2006
0,144,2007
0,115,2008
0,37,2009
0,84,2010
0,33,2011
0,21,2012
0,89,2013
0,143,2014
0,142,2015
0,24,2016
0,61,2017
0,92,2018
0,101,2019
0,85,2020
0,27,2021
0,142,2022
0,65,2023
0,6,2024
0,83,1997
0,112,1998
0,62,1999
0,136,2000
0,12,2001
0,71,2002
0,38,2003
0,112,2004
0,105,2005
0,36,2006
0,62,2007
0,44,2008
0,130,2009
0,126,2010
0,66,2011
0,15,2012
0,69,2013
0,141,2014
0,76,2015
0,85,2016
0,3,2017
0,104,2018
0,137,2019
0,87,2020
0,125,2021
0,8,2022
0,43,2023
0,93,2024
0,25,1997
0,14,1998
0,122,1999
0,42,2000
0,120,2001
0,30,2002
0,26,2003
0,18,2004
0,150,2005
0,25,2006
0,50,2007
0,142,2008
0,144,2009
0,79,2010
0,128,2011
0,29,2012
0,16,2013
0,75,2014
0,145,2015
0,89,2016
0,97,2017
0,131,2018
0,49,2019
0,115,2020
0,13,2021
0,117,2022
0,146,2023
0,76,2024
0,60,1997
0,40,1998
0,150,1999
0,60,2000
0,126,2001
0,34,2002
0,108,2003
0,94,2004
0,71,2005
0,131,2006
0,21,2007
0,46,2008
0,110,2009
0,68,2010
0,25,2011
0,19,2012
0,78,2013
0,80,2014
0,87,2015
0,79,2016
0,6,2017
0,145,2018
0,42,2019
0,2,2020
0,58,2021
0,32,2022
0,15,2023
0,74,2024
0,107,1997
0,121,1998
0,77,1999
0,57,2000
0,22,2001
0,108,2002
0,77,2003
0,42,2004
0,89,2005
0,52,2006
0,87,2007
0,45,2008
0,71,2009
0,14,2010
0,24,2011
0,38,2012
0,80,2013
0,80,2014
0,123,2015
0,131,2016
0,51,2017
0,66,2018
0,56,2019
0,85,2020
0,28,2021
0,96,2022
0,144,2023
0,146,2024
0,5,1997
0,21,1998
0,148,1999
0,126,2000
0,65,2001
0,72,2002
0,137,2003
0,123,2004
0,19,2005
0,101,2006
0,109,2007
0,21,2008
0,63,2009
0,46,2010
0,59,2011
0,12,2012
0,8,2013
0,33,2014
0,110,2015
0,109,2016
0,118,2017
0,38,2018
0,146,2019
0,64,2020
0,86,2021
0,20,2022
0,52,2023
0,25,2024
0,75,1997
0,68,1998
0,115,1999
0,96,2000
0,21,2001
0,101,2002
0,56,2003
0,26,2004
0,136,2005
0,21,2006
0,83,2007
0,57,2008
0,67,2009
0,36,2010
0,146,2011
0,113,2012
0,31,2013
0,27,2014
0,44,2015
0,127,2016
0,65,2017
0,36,2018
0,31,2019
0,5,2020
0,97,2021
0,16,2022
0,32,2023
0,62,2024
0,135,1997
0,95,1998
0,73,1999
0,20,2000
0,81,2001
0,60,2002
0,97,2003
0,26,2004
0,95,2005
0,125,2006
0,92,2007
0,77,2008
0,74,2009
0,36,2010
0,120,2011
0,139,2012
0,124,2013
0,15,2014
0,139,2015
0,145,2016
0,27,2017
0,3,2018
0,82,2019
0,21,2020
0,43,2021
0,30,2022
0,127,2023
0,143,2024
0,145,1997
0,56,1998
0,29,1999
0,127,2000
0,125,2001
0,27,2002
0,49,2003
0,133,2004
0,133,2005
0,67,2006
0,24,2007
0,114,2008
0,44,2009
0,31,2010
0,7,2011
0,106,2012
0,21,2013
0,126,2014
0,72,2015
0,21,2016
0,11,2017
0,114,2018
0,42,2019
0,105,2020
0,89,2021
0,36,2022
0,101,2023
0,89,2024
0,87,1997
0,39,1998
0,34,1999
0,77,2000
0,42,2001
0,16,2002
0,51,2003
0,63,2004
0,40,2005
0,125,2006
0,135,2007
0,73,2008
0,31,2009
0,84,2010
0,76,2011
0,56,2012
0,5,2013
0,31,2014
0,57,2015
0,44,2016
0,117,2017
0,61,2018
0,75,2019
0,108,2020
0,85,2021
0,150,2022
0,35,2023
0,23,2024
0,110,1997
0,16,1998
0,144,1999
0,102,2000
0,72,2001
0,124,2002
0,103,2003
0,31,2004
0,14,2005
0,36,2006
0,96,2007
0,8,2008
0,47,2009
0,150,2010
0,60,2011
0,141,2012
0,29,2013
0,4,2014
0,75,2015
0,38,2016
0,54,2017
0,30,2018
0,85,2019
0,67,2020
0,18,2021
0,133,2022
0,26,2023
