p_id,p_name,standard,length,width,height
1,Gravity-defying Washer,"Ensure that no part is exposed to excessive wear and tear. Verify that all connections are correctly installed and functioning. Ensure that any hydraulic or pneumatic components are leak-free. Verify that the part is free from sharp edges or dangerous protrusions. Perform a weight test to ensure it meets the required specifications. Ensure that the part complies with environmental regulations. Ensure the part is free from bubbles, voids, or defects in material composition. ",63.0,55.0,90.75
2,Soaring Washer,Check that the part is free from rust and other forms of corrosion. Ensure the part fits within the specified envelope for installation. Verify that the part is suitable for long-term storage without degradation. Check for smooth operation under high pressure conditions. Test the part for flexibility under different temperature conditions. Test the part for electromagnetic compatibility (EMC). Check that the part meets aerodynamic efficiency standards. ,95.0,90.0,75.75
3,Wanderlust Washer,Ensure the part is capable of handling varying levels of shock or impact. Test the part for functionality and durability in simulated flight conditions. Verify the part can handle operational load without deformation. Test the part for electrical conductivity where applicable. Ensure all fasteners are properly tightened and secured. ,70.0,70.0,30.75
4,Superb Washer,Ensure the part's electrical systems function properly under load. Verify the part's resistance to rust under typical operating conditions. Perform impact testing to verify the part's integrity under sudden force. Ensure the part is designed to minimize maintenance needs. Test the part's ability to handle a sudden loss of power or failure. Ensure that all fasteners and components are correctly sized and installed. Verify that the part does not degrade under prolonged exposure to sunlight. Ensure all fasteners are properly tightened and secured. ,35.0,35.0,75.0
5,Mighty Washer,Ensure that the part's shape and design are optimized for aerodynamic efficiency. Ensure the part passes all fire resistance tests. Ensure the part is free from cracks that could lead to failure. Ensure the part's electrical systems function properly under load. ,95.0,33.0,90.0
6,Flexible Washer,Ensure the part complies with fire retardant standards. Ensure the part is capable of handling varying levels of shock or impact. Ensure that the part is compatible with other components. ,77.0,92.0,100.0
7,Floating Nut,Test the part's ability to handle a sudden loss of power or failure. Check for smooth operation under high pressure conditions. Test the material for resistance to chemical exposure. Ensure the part is designed to minimize risk of failure during operation. Perform a bending test to verify strength and flexibility. Verify that the part does not degrade under prolonged exposure to sunlight. Ensure the part does not exceed noise level regulations. Check the part's noise emissions under normal operation. ,80.0,45.0,100.0
8,Wanderlust Nut,Verify the part is corrosion-resistant under high humidity conditions. Test the part's electrical components for short circuits or failures. Verify the part's resistance to moisture absorption. Verify that the part is free from manufacturing defects. Test the part for wear resistance under continuous motion. Check the material strength using standard stress testing. Ensure the part does not exceed noise level regulations. Verify that the part maintains structural integrity after extended use. Verify the part's resistance to fatigue under repeated use. Ensure the part is designed to minimize maintenance needs. ,90.0,87.0,35.0
9,Hovercraft Nut,Ensure the part is resistant to galvanic corrosion when used with dissimilar metals. Verify that the part maintains structural integrity after extended use. Verify that the part meets all regulatory standards for safety. Ensure the part does not exceed noise level regulations. Test the part for electromagnetic compatibility (EMC). Verify that the part passes electrical safety standards. Verify that the part can be safely used under varying operational conditions. ,90.75,58.0,73.0
10,On-the-go Nut,Verify that the part is free from sharp edges or dangerous protrusions. ,25.0,25.0,92.0
