s_id,year,on_time,quality,after-sales service,final score,e_id
1,1997,80,79,71,78.9,IM404684290
4,1997,95,66,52,74.0,VV672497678
6,1997,72,51,74,58.45,VV672497678
8,1997,83,74,84,77.2,OP207448611
9,1997,85,77,69,79.0,VV672497678
10,1997,85,89,91,87.9,KM712320200
12,1997,79,88,51,83.45,EV756404160
14,1997,98,76,54,81.5,WF908181184
15,1997,56,93,95,82.0,OP207448611
16,1997,78,69,77,72.1,VV672497678
18,1997,92,94,85,92.95,TL676930737
20,1997,93,95,65,92.9,IM404684290
21,1997,88,68,77,74.45,VV672497678
22,1997,57,83,50,73.55,VV672497678
24,1997,71,60,61,63.35,RV213846681
25,1997,86,50,83,62.45,AL937806946
26,1997,76,81,81,79.5,JD883464020
27,1997,62,52,69,55.85,CN293777880
28,1997,97,56,68,68.9,EV756404160
30,1997,85,92,64,88.5,KM712320200
32,1997,90,62,97,72.15,FY340462967
33,1997,96,79,74,83.85,OP207448611
34,1997,65,72,63,69.45,OP207448611
35,1997,52,54,97,55.55,OP207448611
36,1997,58,66,69,63.75,JD883464020
38,1997,86,51,61,62.0,BG228022180
39,1997,53,82,56,72.0,KM712320200
40,1997,96,66,57,74.55,IM404684290
42,1997,99,95,97,96.3,JD883464020
44,1997,89,53,61,64.2,OP207448611
45,1997,93,90,94,91.1,OP207448611
46,1997,99,67,64,76.45,CN293777880
48,1997,88,60,77,69.25,RV213846681
49,1997,70,51,58,57.05,AL937806946
50,1997,55,98,93,84.85,AL937806946
51,1997,86,89,85,87.9,BG228022180
52,1997,72,71,67,71.1,FY340462967
54,1997,99,55,80,69.45,RV213846681
55,1997,91,61,76,70.75,RV213846681
56,1997,77,98,75,90.55,KM712320200
57,1997,62,65,58,63.75,VV672497678
58,1997,95,77,76,82.35,RV213846681
60,1997,93,71,86,78.35,EV756404160
62,1997,99,96,89,96.55,KM712320200
63,1997,64,88,80,80.4,EV756404160
64,1997,77,82,50,78.9,FY340462967
65,1997,50,86,60,73.9,OP207448611
66,1997,54,83,84,74.35,RV213846681
68,1997,76,83,72,80.35,VV672497678
69,1997,88,69,50,73.75,KM712320200
70,1997,66,60,84,63.0,EV756404160
72,1997,52,69,55,63.2,WF908181184
74,1997,57,56,82,57.6,WF908181184
75,1997,82,87,94,85.85,EV756404160
76,1997,67,62,61,63.45,AL937806946
77,1997,56,99,53,83.8,VV672497678
78,1997,92,64,88,73.6,EV756404160
80,1997,95,55,94,68.95,JD883464020
81,1997,55,74,61,67.65,CN293777880
82,1997,55,81,100,74.15,VV672497678
84,1997,64,67,63,65.9,RV213846681
85,1997,87,51,100,64.25,FY340462967
86,1997,87,85,74,85.05,JD883464020
87,1997,59,54,96,57.6,VV672497678
88,1997,85,92,59,88.25,OP207448611
90,1997,75,56,78,62.8,KM712320200
91,1997,91,90,85,90.05,VV672497678
92,1997,67,65,75,66.1,CN293777880
93,1997,91,85,70,86.05,KM712320200
94,1997,58,56,68,57.2,VV672497678
95,1997,93,77,59,80.9,RV213846681
96,1997,84,64,99,71.75,AL937806946
98,1997,67,85,83,79.5,CN293777880
99,1997,91,97,82,94.45,KM712320200
100,1997,56,68,96,65.8,OP207448611
102,1997,95,78,67,82.55,FY340462967
104,1997,88,62,60,69.7,VV672497678
105,1997,56,94,51,80.45,TL676930737
106,1997,56,68,59,63.95,RV213846681
108,1997,89,85,57,84.8,TL676930737
110,1997,56,96,99,84.15,IM404684290
111,1997,64,100,80,88.2,TL676930737
112,1997,60,56,75,58.15,CN293777880
114,1997,89,55,60,65.45,JD883464020
115,1997,62,79,54,72.65,OP207448611
116,1997,55,77,63,69.7,WF908181184
117,1997,94,85,72,87.05,TL676930737
118,1997,74,62,93,67.15,CN293777880
119,1997,59,78,62,71.5,AL937806946
120,1997,84,63,75,69.9,EV756404160
121,1997,64,95,89,85.4,BG228022180
122,1997,53,66,93,63.45,EV756404160
123,1997,61,96,81,84.75,OP207448611
124,1997,68,75,96,73.95,FY340462967
125,1997,78,84,95,82.75,EV756404160
126,1997,82,66,83,71.65,OP207448611
128,1997,91,57,63,67.5,CN293777880
129,1997,86,83,67,83.1,FY340462967
130,1997,99,94,98,95.7,OP207448611
132,1997,53,80,72,71.5,OP207448611
133,1997,64,96,50,84.1,TL676930737
134,1997,88,68,84,74.8,WF908181184
135,1997,55,76,57,68.75,VV672497678
136,1997,100,80,96,86.8,WF908181184
138,1997,53,71,50,64.55,OP207448611
140,1997,64,82,63,75.65,VV672497678
141,1997,66,99,73,87.8,KM712320200
142,1997,53,57,78,56.85,FY340462967
143,1997,74,100,67,90.55,JD883464020
144,1997,53,83,70,73.35,AL937806946
145,1997,100,77,57,82.9,WF908181184
146,1997,76,79,93,78.8,KM712320200
147,1997,61,87,97,79.7,FY340462967
148,1997,98,82,69,86.15,WF908181184
150,1997,83,92,95,89.45,IM404684290
152,1997,66,63,55,63.5,WF908181184
153,1997,83,92,88,89.1,BG228022180
154,1997,87,95,52,90.45,IM404684290
155,1997,100,67,61,76.6,RV213846681
156,1997,81,99,68,92.05,VV672497678
158,1997,91,94,95,93.15,VV672497678
159,1997,99,55,95,70.2,KM712320200
160,1997,88,92,99,91.15,IM404684290
161,1997,95,82,70,85.3,WF908181184
162,1997,87,55,58,64.75,EV756404160
164,1997,66,100,70,88.3,EV756404160
165,1997,70,68,67,68.55,OP207448611
166,1997,72,93,61,85.1,BG228022180
168,1997,99,90,79,92.15,KM712320200
169,1997,81,78,85,79.25,BG228022180
170,1997,60,78,83,72.85,CN293777880
171,1997,78,75,94,76.85,RV213846681
172,1997,70,71,64,70.35,OP207448611
174,1997,100,96,97,97.25,AL937806946
175,1997,53,82,60,72.2,WF908181184
176,1997,67,98,88,88.2,KM712320200
177,1997,96,59,79,71.1,TL676930737
178,1997,91,68,100,76.5,WF908181184
180,1997,93,93,63,91.5,KM712320200
182,1997,90,77,63,80.2,VV672497678
183,1997,51,65,66,60.85,TL676930737
184,1997,88,51,92,64.15,RV213846681
185,1997,72,94,55,85.45,BG228022180
186,1997,52,60,79,58.55,FY340462967
187,1997,90,69,79,75.8,CN293777880
188,1997,51,94,62,79.5,OP207448611
189,1997,74,75,86,75.25,WF908181184
190,1997,99,98,72,97.0,FY340462967
192,1997,77,71,50,71.75,OP207448611
194,1997,65,50,91,56.55,RV213846681
195,1997,69,100,90,90.2,CN293777880
196,1997,78,99,98,92.65,IM404684290
198,1997,53,91,75,78.8,CN293777880
200,1997,97,59,53,70.1,TL676930737
201,1997,54,92,86,80.3,TL676930737
202,1997,55,67,57,62.9,TL676930737
203,1997,63,100,50,86.4,WF908181184
204,1997,58,91,51,79.1,FY340462967
205,1997,58,79,98,73.65,VV672497678
206,1997,63,77,90,73.45,TL676930737
207,1997,95,82,75,85.55,OP207448611
208,1997,52,50,99,53.05,CN293777880
209,1997,98,51,55,65.3,IM404684290
210,1997,68,85,97,80.5,BG228022180
212,1997,85,54,99,65.55,WF908181184
213,1997,67,51,85,57.5,FY340462967
214,1997,88,60,76,69.2,KM712320200
215,1997,97,93,83,93.7,BG228022180
216,1997,68,59,62,61.85,BG228022180
217,1997,50,88,98,77.1,FY340462967
218,1997,55,81,67,72.5,CN293777880
219,1997,100,80,96,86.8,TL676930737
220,1997,78,76,93,77.45,BG228022180
221,1997,80,67,60,70.55,BG228022180
222,1997,61,63,61,62.3,AL937806946
224,1997,70,61,78,64.55,IM404684290
225,1997,99,73,72,80.75,EV756404160
226,1997,80,88,97,86.05,VV672497678
228,1997,81,67,52,70.45,BG228022180
230,1997,51,54,65,53.65,BG228022180
231,1997,62,81,90,75.75,TL676930737
232,1997,98,98,75,96.85,IM404684290
234,1997,69,75,81,73.5,IM404684290
235,1997,63,81,66,74.85,VV672497678
236,1997,71,62,53,64.25,WF908181184
237,1997,69,78,81,75.45,OP207448611
238,1997,59,61,52,59.95,TL676930737
240,1997,80,66,94,71.6,OP207448611
242,1997,63,60,79,61.85,KM712320200
243,1997,63,66,91,66.35,EV756404160
244,1997,63,90,89,81.85,OP207448611
245,1997,100,68,97,79.05,CN293777880
246,1997,90,76,61,79.45,AL937806946
247,1997,57,63,82,62.15,VV672497678
248,1997,70,65,62,66.35,VV672497678
249,1997,100,68,79,78.15,EV756404160
250,1997,92,88,80,88.8,EV756404160
252,1997,72,73,94,73.75,EV756404160
253,1997,72,69,88,70.85,TL676930737
254,1997,83,97,52,90.55,EV756404160
255,1997,90,71,57,76.0,IM404684290
256,1997,50,59,58,56.25,VV672497678
258,1997,59,53,95,56.9,EV756404160
259,1997,52,67,84,63.35,BG228022180
260,1997,56,69,94,66.35,CN293777880
261,1997,57,87,66,76.95,RV213846681
262,1997,83,94,60,89.0,TL676930737
264,1997,70,75,66,73.05,OP207448611
265,1997,57,97,71,83.7,CN293777880
266,1997,95,69,73,77.0,IM404684290
267,1997,85,96,73,91.55,IM404684290
268,1997,84,84,83,83.95,KM712320200
270,1997,84,90,82,87.8,AL937806946
272,1997,67,78,51,73.35,WF908181184
273,1997,84,99,63,92.7,IM404684290
274,1997,90,77,61,80.1,JD883464020
275,1997,55,92,89,80.75,FY340462967
276,1997,71,91,53,83.1,RV213846681
278,1997,53,81,90,73.05,EV756404160
279,1997,86,56,52,64.8,VV672497678
280,1997,59,88,82,79.0,CN293777880
282,1997,53,62,95,60.95,BG228022180
284,1997,61,63,51,61.8,TL676930737
285,1997,74,97,63,88.4,EV756404160
286,1997,91,57,50,66.85,WF908181184
287,1997,77,58,74,64.5,AL937806946
288,1997,64,76,65,71.85,JD883464020
289,1997,80,66,81,70.95,FY340462967
290,1997,74,56,92,63.2,BG228022180
291,1997,81,72,76,74.9,EV756404160
292,1997,77,95,89,89.3,EV756404160
294,1997,56,69,84,65.85,EV756404160
295,1997,97,73,58,79.45,AL937806946
296,1997,83,97,82,92.05,BG228022180
297,1997,98,90,92,92.5,FY340462967
298,1997,76,96,58,88.1,CN293777880
299,1997,89,60,56,68.5,CN293777880
300,1997,76,94,90,88.4,VV672497678
301,1997,77,74,80,75.2,WF908181184
302,1997,83,66,93,72.45,RV213846681
303,1997,73,54,77,60.85,VV672497678
304,1997,88,90,72,88.5,KM712320200
305,1997,93,56,75,68.05,WF908181184
306,1997,94,74,64,79.5,WF908181184
308,1997,56,92,84,80.8,IM404684290
309,1997,77,63,62,67.15,AL937806946
310,1997,69,52,97,59.35,RV213846681
312,1997,93,77,63,81.1,VV672497678
314,1997,66,96,60,85.2,IM404684290
315,1997,84,53,54,62.35,EV756404160
316,1997,93,76,58,80.2,RV213846681
318,1997,81,91,57,86.3,CN293777880
319,1997,84,91,84,88.55,JD883464020
320,1997,73,72,58,71.6,RV213846681
321,1997,75,88,59,82.65,AL937806946
322,1997,94,92,90,92.5,IM404684290
323,1997,68,72,79,71.15,EV756404160
324,1997,56,97,91,84.4,BG228022180
325,1997,86,56,55,64.95,BG228022180
326,1997,88,52,83,64.35,OP207448611
327,1997,95,80,72,84.1,BG228022180
328,1997,50,55,67,54.1,KM712320200
329,1997,83,79,59,79.2,IM404684290
330,1997,54,59,87,58.9,KM712320200
332,1997,70,55,73,60.4,JD883464020
333,1997,92,61,88,71.65,VV672497678
334,1997,89,63,94,72.35,EV756404160
335,1997,51,51,86,52.75,BG228022180
336,1997,77,74,81,75.25,RV213846681
338,1997,94,51,69,64.8,WF908181184
339,1997,90,61,51,69.2,WF908181184
340,1997,97,63,87,74.4,AL937806946
341,1997,57,69,99,66.9,TL676930737
342,1997,77,97,68,89.55,TL676930737
343,1997,83,90,82,87.5,RV213846681
344,1997,73,72,94,73.4,BG228022180
345,1997,85,87,94,86.75,CN293777880
346,1997,51,74,50,65.9,AL937806946
348,1997,67,61,80,63.75,JD883464020
350,1997,71,57,88,62.75,AL937806946
351,1997,84,69,86,74.35,BG228022180
352,1997,98,64,79,74.95,IM404684290
354,1997,83,97,60,90.95,BG228022180
355,1997,73,75,77,74.5,CN293777880
356,1997,94,61,69,71.3,BG228022180
357,1997,98,50,65,65.15,AL937806946
358,1997,69,91,100,84.85,RV213846681
360,1997,56,61,66,59.75,RV213846681
361,1997,70,96,54,86.1,JD883464020
362,1997,76,67,56,69.15,TL676930737
363,1997,75,65,86,69.05,TL676930737
364,1997,94,88,78,89.3,IM404684290
365,1997,73,80,56,76.7,FY340462967
366,1997,56,91,65,79.2,CN293777880
368,1997,92,58,59,68.25,FY340462967
369,1997,75,84,60,80.1,FY340462967
370,1997,78,75,79,76.1,AL937806946
371,1997,95,55,55,67.0,OP207448611
372,1997,92,87,62,87.25,AL937806946
374,1997,92,60,60,69.6,IM404684290
375,1997,66,55,77,59.4,RV213846681
376,1997,64,52,74,56.7,KM712320200
377,1997,73,100,91,91.45,AL937806946
378,1997,67,91,65,82.5,RV213846681
380,1997,91,94,61,91.45,OP207448611
381,1997,52,66,51,61.05,WF908181184
382,1997,69,95,60,85.45,IM404684290
